class_name,class_dates,class_times,year,semester
Comparative Literature (COM LIT) 2CW - Survey of Literature: Age of Enlightenment to 20th Century Lec 1,MW,10am-10:50am,2024,fall
Comparative Literature (COM LIT) 2CW - Survey of Literature: Age of Enlightenment to 20th Century Lec 2,TR,3pm-3:50pm,2024,fall
Comparative Literature (COM LIT) 100 - Introduction to Literary and Critical Theory Lec 1,M,2pm-4:50pm,2024,fall
Computer Science (COM SCI) 30 - Principles and Practices of Computing Lec 1,MW,2pm-3:50pm,2024,fall
Computer Science (COM SCI) 31 - Introduction to Computer Science I Lec 1,MW,10am-11:50am,2024,fall
Computer Science (COM SCI) 31 - Introduction to Computer Science I Lec 2,MW,4pm-5:50pm,2024,fall
Computer Science (COM SCI) 32 - Introduction to Computer Science II Lec 1,MW,4pm-5:50pm,2024,fall
Computer Science (COM SCI) 33 - Introduction to Computer Organization Lec 1,TR,4pm-5:50pm,2024,fall
Computer Science (COM SCI) 35L - Software Construction Lec 1,MW,4pm-5:50pm,2024,fall
Computer Science (COM SCI) M51A - Logic Design of Digital Systems Lec 1,MW,12pm-1:50pm,2024,fall
Computer Science (COM SCI) 111 - Operating Systems Principles Lec 1,TR,2pm-3:50pm,2024,fall
Computer Science (COM SCI) 118 - Computer Network Fundamentals Lec 1,TR,2pm-3:50pm,2024,fall
Computer Science (COM SCI) M119 - Fundamentals of Embedded Networked Systems Lec 1,MW,2pm-3:50pm,2024,fall
Computer Science (COM SCI) 130 - Software Engineering Lec 1,MW,6pm-7:50pm,2024,fall
Computer Science (COM SCI) 131 - Programming Languages Lec 1,MW,2pm-3:50pm,2024,fall
Computer Science (COM SCI) 134 - Distributed Systems Lec 1,MW,4pm-5:50pm,2024,fall
Computer Science (COM SCI) M138 - Computer System Security Lec 1,TR,4pm-5:50pm,2024,fall
Computer Science (COM SCI) M148 - Introduction to Data Science Lec 1,TR,4pm-5:50pm,2024,fall
Computer Science (COM SCI) M151B - Computer Systems Architecture Lec 1,TR,12pm-1:50pm,2024,fall
Computer Science (COM SCI) 161 - Fundamentals of Artificial Intelligence Lec 1,TR,10am-11:50am,2024,fall
Computer Science (COM SCI) 161 - Fundamentals of Artificial Intelligence Lec 91,TR,10am-11:50am,2024,fall
Computer Science (COM SCI) 163 - Deep Learning for Computer Vision Lec 1,MW,4pm-5:50pm,2024,fall
Computer Science (COM SCI) 174A - Introduction to Computer Graphics Lec 1,TR,6pm-7:50pm,2024,fall
Computer Science (COM SCI) 180 - Introduction to Algorithms and Complexity Lec 1,MW,8am-9:50am,2024,fall
Computer Science (COM SCI) 181 - Theory of Computing Lec 1,MW,2pm-3:50pm,2024,fall
Computer Science (COM SCI) M184 - Introduction to Computational and Systems Biology Lec 1,F,2pm-3:50pm,2024,fall
Computer Science (COM SCI) M213A - Embedded Systems Lec 1,TR,2pm-3:50pm,2024,fall
Computer Science (COM SCI) 215 - Internet of Things: Connectivity and Sensing Lec 1,MW,10am-11:50am,2024,fall
Computer Science (COM SCI) 215 - Internet of Things: Connectivity and Sensing Lec 80,Select Computer Science (COM SCI) 215 - Internet of Things: Connectivity and Sensing Lec 1,MW,2024,fall
Computer Science (COM SCI) 217A - Internet Architecture and Protocols Lec 1,TR,10am-11:50am,2024,fall
Computer Science (COM SCI) 230 - Software Engineering Lec 1,TR,10am-11:50am,2024,fall
Computer Science (COM SCI) M238 - Quantum Programming Lec 1,TR,2pm-3:50pm,2024,fall
Computer Science (COM SCI) 239 - Current Topics in Computer Science: Programming Languages and Systems: Efficient Cryptography-Based Systems Lec 1,MW,12pm-1:50pm,2024,fall
Computer Science (COM SCI) 245 - Big Data Analytics Lec 1,MW,2pm-3:50pm,2024,fall
