class_name,class_dates,class_times,class_professor,year,semester,prof_rating,bruin_walk_url
Chemistry and Biochemistry (CHEM) 30BL - Organic Chemistry Laboratory I Lec 1,M,8am-8:50am,"Deifel, N.",2024,fall,N/A,https://bruinwalk.com/professors/nicholas-deifel/chem-30bl/
Chemistry and Biochemistry (CHEM) 30CL - Organic Chemistry Laboratory II Lec 1,TR,11am-11:50am,"Deifel, N.",2024,fall,N/A,https://bruinwalk.com/professors/nicholas-deifel/chem-30cl/
Chemistry and Biochemistry (CHEM) 110A - Physical Chemistry: Chemical Thermodynamics Lec 1,MWF,11am-11:50am,"Shao, H.",2024,fall,2.8,https://bruinwalk.com/professors/huiling-shao/chem-110a/
Chemistry and Biochemistry (CHEM) 110B - Topics in Physical Chemistry Lec 1,MWF,9am-9:50am,"Mason, T.G.",2024,fall,2.7,https://bruinwalk.com/professors/thomas-g-mason/chem-110b/
Chemistry and Biochemistry (CHEM) 113A - Physical Chemistry: Introduction to Quantum Mechanics Lec 1,MWF,12pm-12:50pm,"Neuhauser, D.",2024,fall,3.0,https://bruinwalk.com/professors/daniel-neuhauser/chem-113a/
Chemistry and Biochemistry (CHEM) C115A - Advanced Quantum Chemistry with Laboratory I Lec 1,MW,9am-10:15am,"Narang, P.",2024,fall,N/A,https://bruinwalk.com/professors/prineha-narang/chem-c115a/
Chemistry and Biochemistry (CHEM) C123A - Advanced Thermodynamics and Statistical Mechanics with Laboratory I Lec 1,TR,9am-10:15am,"Schwartz, B.J.",2024,fall,N/A,https://bruinwalk.com/professors/benjamin-j-schwartz/chem-c123a/
Chemistry and Biochemistry (CHEM) M124 - Philosophy of Science: Historical Lec 1,MW,2pm-3:15pm,"Scerri, E.R.",2024,fall,N/A,https://bruinwalk.com/professors/eric-r.-scerri
Chemistry and Biochemistry (CHEM) C125 - Machine Learning and Applications in Chemistry Lec 1,MWF,2pm-2:50pm,No instructors,2024,fall,N/A,N/A
Chicana/o and Central American Studies (CCAS) 20 - Central American Studies: Histories and Cultures Lec 1,MW,11am-12:15pm,"Boj Lopez, F.E.",2024,fall,N/A,https://bruinwalk.com/professors/floridalma-eliza-boj-lopez
Chicana/o and Central American Studies (CCAS) M103D - Contemporary Chicano Theater: Beginning of Chicano Theater Movement Lec 1,R,3pm-5:50pm,"Araiza, J.E.",2024,fall,N/A,https://bruinwalk.com/professors/j.ed-araiza
"Chicana/o and Central American Studies (CCAS) M105C - Chicana/Chicano Literature since el Movimiento, 1970s to Present Lec 1",MW,12:30pm-1:45pm,"Perez-Torres, R.",2024,fall,N/A,https://bruinwalk.com/professors/r.-torres
"Chicana/o and Central American Studies (CCAS) 105F - Gender, Fiction, and Social Change Lec 1",MW,2pm-3:50pm,"Harris, A.A.",2024,fall,N/A,https://bruinwalk.com/professors/benjamin-a-harris
Chicana/o and Central American Studies (CCAS) 113 - Day of Dead Ritual Lec 1,TR,4pm-5:50pm,"Ramirez-Oropeza, M",2024,fall,1.0,https://bruinwalk.com/professors/martha-ramirez-oropeza/ccas-113/
Chicana/o and Central American Studies (CCAS) M125 - U.S./Mexico Relations Lec 1,MW,12pm-1:50pm,No instructors,2024,fall,N/A,N/A
"Chicana/o and Central American Studies (CCAS) M126 - Politics of Crisis: Migration, Identity, and Religion Lec 1",MW,12pm-1:50pm,"Guerra, L.F.",2024,fall,N/A,https://bruinwalk.com/professors/lauren-f-guerra/ccas-m126/
"Chicana/o and Central American Studies (CCAS) M127 - Farmworker Movements, Social Justice, and United Farm Workers Legacy Lec 1",TR,9:30am-10:45am,"Espino, V.",2024,fall,N/A,https://bruinwalk.com/professors/virginia-espino/ccas-m127/
Chicana/o and Central American Studies (CCAS) 131 - Barrio Popular Culture Lec 1,MW,6pm-7:50pm,The Staff,2024,fall,N/A,N/A
Chicana/o and Central American Studies (CCAS) 149 - Gendered Politics and Chicana/Latina Political Participation Lec 1,MW,2pm-3:50pm,"Andalon, R.",2024,fall,N/A,https://bruinwalk.com/professors/richard-andalon/ccas-149/
Chicana/o and Central American Studies (CCAS) 153D - U.S. Central American Narratives Lec 1,MW,11am-12:15pm,"Alma, K.",2024,fall,N/A,https://bruinwalk.com/professors/alma-cortes
